player_id,year,matches_played,runs,highest_score,bat_avg,centuries,wickets,best_bowling_innings,bowl_avg,five_wicket_hauls,catches,stumps,ave_diff,match_format,id
47521,1889,2,87.0,29,29.0,0.0,,,,,2.0,0.0,,Test,193
1143150,2022,6,19.0,15,3.16,0.0,3.0,2/24,41.33,0.0,2.0,0.0,-38.16,T20I,194
1143150,2023,2,15.0,14,7.5,0.0,3.0,3/19,12.33,0.0,0.0,0.0,-4.83,T20I,195
550137,2018,2,1.0,1,1.0,0.0,3.0,2/50,29.66,0.0,1.0,0.0,-28.66,ODI,196
550137,2016,5,14.0,14,14.0,0.0,3.0,2/40,34.0,0.0,0.0,0.0,-19.99,T20I,197
550137,2018,8,44.0,22*,,0.0,3.0,1/14,76.0,0.0,2.0,0.0,,T20I,198
410763,2018,3,2.0,2,0.5,0.0,8.0,3/38,29.5,0.0,0.0,0.0,-28.99,Test,199
410763,2019,4,22.0,7*,5.5,0.0,9.0,4/108,42.44,0.0,1.0,0.0,-36.94,Test,200
38117,2001,19,229.0,51*,16.35,0.0,,,,,15.0,2.0,,ODI,201
410763,2020,2,3.0,3,1.5,0.0,7.0,4/71,23.0,0.0,0.0,0.0,-21.49,Test,202
410763,2021,4,9.0,8,2.25,0.0,6.0,4/98,56.5,0.0,0.0,0.0,-54.24,Test,203
410763,2019,2,,,,,5.0,5/58,22.8,1.0,0.0,0.0,,ODI,204
410763,2018,3,3.0,2,1.5,0.0,4.0,2/27,26.5,0.0,1.0,0.0,-24.99,T20I,205
1230636,2022,3,,,,,5.0,2/19,14.4,0.0,1.0,0.0,,T20I,206
1230636,2023,1,,,,,4.0,4/19,4.75,0.0,0.0,0.0,,T20I,207
1230636,2024,5,3.0,3*,3.0,0.0,5.0,3/30,19.4,0.0,1.0,0.0,-16.39,T20I,208
373439,2012,1,120.0,113,120.0,1.0,0.0,,,0.0,0.0,0.0,,Test,209
373439,2013,2,45.0,25*,45.0,0.0,3.0,2/80,86.0,0.0,3.0,0.0,-40.99,Test,210
373439,2012,2,,,,,0.0,,,0.0,0.0,0.0,,ODI,211
373439,2013,1,3.0,3,3.0,0.0,0.0,,,0.0,0.0,0.0,,ODI,212
373439,2014,2,1.0,1,1.0,0.0,0.0,,,0.0,1.0,0.0,,ODI,213
373439,2015,1,,,,,0.0,,,0.0,0.0,0.0,,ODI,214
373439,2018,1,7.0,7,7.0,0.0,0.0,,,0.0,0.0,0.0,,ODI,215
373439,2012,4,9.0,9,9.0,0.0,2.0,2/33,54.0,0.0,0.0,0.0,-44.99,T20I,216
373439,2018,1,5.0,5,5.0,0.0,2.0,2/40,20.0,0.0,0.0,0.0,-14.99,T20I,217
417263,2019,2,11.0,11,11.0,0.0,,,,,0.0,0.0,,T20I,218
526120,2023,3,5.0,5,5.0,0.0,,,,,3.0,1.0,,T20I,219
271996,2023,2,2.0,2,1.0,0.0,,,,,0.0,0.0,,T20I,220
53228,1978,6,443.0,111,40.27,2.0,,,,,5.0,0.0,,Test,221
53228,1979,1,26.0,26,26.0,0.0,,,,,0.0,0.0,,Test,222
505120,2013,2,130.0,98,32.5,0.0,2.0,2/82,124.0,0.0,0.0,0.0,-91.49,Test,223
505120,2017,2,65.0,41*,32.5,0.0,7.0,3/46,23.14,0.0,0.0,0.0,9.35,Test,224
505120,2023,1,,,,,0.0,,,0.0,0.0,0.0,,Test,225
505120,2015,2,5.0,5,5.0,0.0,2.0,1/12,28.5,0.0,2.0,0.0,-23.49,ODI,226
505120,2017,2,9.0,9*,9.0,0.0,2.0,1/54,62.5,0.0,0.0,0.0,-53.49,ODI,227
505120,2018,5,130.0,46,26.0,0.0,4.0,2/48,58.0,0.0,2.0,0.0,-31.99,ODI,228
505120,2020,5,73.0,28,24.33,0.0,4.0,2/44,62.25,0.0,3.0,0.0,-37.91,ODI,229
505120,2021,1,19.0,19*,,0.0,2.0,2/31,15.5,0.0,0.0,0.0,,ODI,230
